pptname,invariant,invariantType,variables,tp,fp,enter,bug,file,group
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,input.lang is a substring of return.self,daikon.inv.binary.twoString.StdString$SubString,"(input.lang, return.self)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.self
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.id is a substring of return.self,daikon.inv.binary.twoString.StdString$SubString,"(return.id, return.self)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.id
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.category is a substring of return.room.description.text,daikon.inv.binary.twoString.StdString$SubString,"(return.category, return.room.description.text)",0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.category
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,input.checkInDate is a substring of return.self,daikon.inv.binary.twoString.StdString$SubString,"(input.checkInDate, return.self)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.self
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,input.checkOutDate is a substring of return.self,daikon.inv.binary.twoString.StdString$SubString,"(input.checkOutDate, return.self)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.self
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,input.countryOfResidence is a substring of return.self,daikon.inv.binary.twoString.StdString$SubString,"(input.countryOfResidence, return.self)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.self
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,input.currency is a substring of return.self,daikon.inv.binary.twoString.StdString$SubString,"(input.currency, return.self)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.self
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,input.paymentPolicy is a substring of return.self,daikon.inv.binary.twoString.StdString$SubString,"(input.paymentPolicy, return.self)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.self
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,input.boardType is a substring of return.self,daikon.inv.binary.twoString.StdString$SubString,"(input.boardType, return.self)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.self
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,input.lang is a substring of return.self,daikon.inv.binary.twoString.StdString$SubString,"(input.lang, return.self)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.self
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,return.type is a substring of return.self,daikon.inv.binary.twoString.StdString$SubString,"(return.type, return.self)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.type
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,return.hotel.type is a substring of return.type,daikon.inv.binary.twoString.StdString$SubString,"(return.type, return.hotel.type)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.type
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,return.hotel.hotelId is a substring of return.self,daikon.inv.binary.twoString.StdString$SubString,"(return.self, return.hotel.hotelId)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.self
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,return.hotel.chainCode is a substring of return.hotel.hotelId,daikon.inv.binary.twoString.StdString$SubString,"(return.hotel.hotelId, return.hotel.chainCode)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.hotel.hotelId
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,return.hotel.cityCode is a substring of return.hotel.hotelId,daikon.inv.binary.twoString.StdString$SubString,"(return.hotel.hotelId, return.hotel.cityCode)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.hotel.hotelId
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.self is Url,daikon.inv.unary.string.IsUrl,(return.self),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.self
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,return.self is Url,daikon.inv.unary.string.IsUrl,(return.self),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.self
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.currency)==3,daikon.inv.unary.string.FixedLengthString,(return.currency),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.price.taxes.currency
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&taxes(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.percentage)==5,daikon.inv.unary.string.FixedLengthString,(return.percentage),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.price.taxes.percentage
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.id)==10,daikon.inv.unary.string.FixedLengthString,(return.id),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.id
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.roomQuantity)==1,daikon.inv.unary.string.FixedLengthString,(return.roomQuantity),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.roomQuantity
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.rateCode)==3,daikon.inv.unary.string.FixedLengthString,(return.rateCode),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.rateCode
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.rateFamilyEstimated.code)==3,daikon.inv.unary.string.FixedLengthString,(return.rateFamilyEstimated.code),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.rateFamilyEstimated.code
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.rateFamilyEstimated.type)==1,daikon.inv.unary.string.FixedLengthString,(return.rateFamilyEstimated.type),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.rateFamilyEstimated.type
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.boardType)==9,daikon.inv.unary.string.FixedLengthString,(return.boardType),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.boardType
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.room.type)==3,daikon.inv.unary.string.FixedLengthString,(return.room.type),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.room.type
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.room.description.lang)==2,daikon.inv.unary.string.FixedLengthString,(return.room.description.lang),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.room.description.lang
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.price.currency)==3,daikon.inv.unary.string.FixedLengthString,(return.price.currency),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.price.currency
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.policies.cancellation.type)==9,daikon.inv.unary.string.FixedLengthString,(return.policies.cancellation.type),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.policies.cancellation.type
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.policies.cancellation.deadline)==25,daikon.inv.unary.string.FixedLengthString,(return.policies.cancellation.deadline),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.policies.cancellation.deadline
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.type)==12,daikon.inv.unary.string.FixedLengthString,(return.type),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.type
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.hotel.hotelId)==8,daikon.inv.unary.string.FixedLengthString,(return.hotel.hotelId),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.hotel.hotelId
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.hotel.chainCode)==2,daikon.inv.unary.string.FixedLengthString,(return.hotel.chainCode),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.hotel.chainCode
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.hotel.dupeId)==9,daikon.inv.unary.string.FixedLengthString,(return.hotel.dupeId),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.hotel.dupeId
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.hotel.cityCode)==3,daikon.inv.unary.string.FixedLengthString,(return.hotel.cityCode),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.hotel.cityCode
main.shoppinghotel-offers.getMultiHotelOffers&200&data(main.getMultiHotelOffers&Input):::EXIT,LENGTH(return.hotel.type)==5,daikon.inv.unary.string.FixedLengthString,(return.hotel.type),1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.hotel.type
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,input.adults == return.guests.adults,daikon.inv.binary.twoScalar.IntEqual,"(input.adults, return.guests.adults)",1,0,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.guests.adults
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,input.adults == size(return.policies.deposit.acceptedPayments.methods[]),daikon.inv.binary.twoScalar.IntEqual,"(input.adults, size(return.policies.deposit.acceptedPayments.methods[..]))",0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.policies.deposit.acceptedPayments.methods
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.description == return.commission.description,daikon.inv.binary.twoScalar.IntEqual,"(return.description, return.commission.description)",0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.description
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.description == return.policies.guarantee.description,daikon.inv.binary.twoScalar.IntEqual,"(return.description, return.policies.guarantee.description)",0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.description
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.description == return.policies.deposit.description,daikon.inv.binary.twoScalar.IntEqual,"(return.description, return.policies.deposit.description)",0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.description
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.description == return.policies.prepay.description,daikon.inv.binary.twoScalar.IntEqual,"(return.description, return.policies.prepay.description)",0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.description
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.room.typeEstimated.beds == size(return.policies.deposit.acceptedPayments.methods[]),daikon.inv.binary.twoScalar.IntEqual,"(return.room.typeEstimated.beds, size(return.policies.deposit.acceptedPayments.methods[..]))",0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.room.typeEstimated.beds
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.price.markups == return.price.variations.average.markups,daikon.inv.binary.twoScalar.IntEqual,"(return.price.markups, return.price.variations.average.markups)",0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.price.markups
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.policies.prepay.acceptedPayments.creditCards == return.policies.prepay.acceptedPayments.methods,daikon.inv.binary.twoScalar.IntEqual,"(return.policies.prepay.acceptedPayments.creditCards, return.policies.prepay.acceptedPayments.methods)",0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.policies.prepay.acceptedPayments.creditCards
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers&price&variations&changes(main.getMultiHotelOffers&Input):::EXIT,return.markups == null,daikon.inv.unary.scalar.OneOfScalar,(return.markups),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.price.variations.changes.markups
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.description == null,daikon.inv.unary.scalar.OneOfScalar,(return.description),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.description
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,"return.room.typeEstimated.beds one of { 1, 2 }",daikon.inv.unary.scalar.OneOfScalar,(return.room.typeEstimated.beds),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.room.typeEstimated.beds
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.guests.childAges == null,daikon.inv.unary.scalar.OneOfScalar,(return.guests.childAges),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.guests.childAges
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.price.markups == null,daikon.inv.unary.scalar.OneOfScalar,(return.price.markups),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.price.markups
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.policies.prepay == null,daikon.inv.unary.scalar.OneOfScalar,(return.policies.prepay),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.policies.prepay
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.policies.prepay.acceptedPayments == null,daikon.inv.unary.scalar.OneOfScalar,(return.policies.prepay.acceptedPayments),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.policies.prepay.acceptedPayments
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.policies.prepay.acceptedPayments.creditCards == null,daikon.inv.unary.scalar.OneOfScalar,(return.policies.prepay.acceptedPayments.creditCards),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.policies.prepay.acceptedPayments.creditCards
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.policies.holdTime == null,daikon.inv.unary.scalar.OneOfScalar,(return.policies.holdTime),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.policies.holdTime
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,"return.policies.cancellation.numberOfNights one of { 1, 3 }",daikon.inv.unary.scalar.OneOfScalar,(return.policies.cancellation.numberOfNights),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.policies.cancellation.numberOfNights
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.policies.checkInOut == null,daikon.inv.unary.scalar.OneOfScalar,(return.policies.checkInOut),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.policies.checkInOut
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.policies.checkInOut.checkInDescription == null,daikon.inv.unary.scalar.OneOfScalar,(return.policies.checkInOut.checkInDescription),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.policies.checkInOut.checkInDescription
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,return.policies.checkInOut.checkOutDescription == null,daikon.inv.unary.scalar.OneOfScalar,(return.policies.checkInOut.checkOutDescription),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.policies.checkInOut.checkOutDescription
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,"size(return.price.taxes[]) one of { 1, 2, 3 }",daikon.inv.unary.scalar.OneOfScalar,(size(return.price.taxes[..])),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.price.taxes
main.shoppinghotel-offers.getMultiHotelOffers&200&data&offers(main.getMultiHotelOffers&Input):::EXIT,size(return.policies.guarantee.acceptedPayments.methods[]) == 1,daikon.inv.unary.scalar.OneOfScalar,(size(return.policies.guarantee.acceptedPayments.methods[..])),0,1,0,0,c:\Users\\OneDrive\Documents\ReplicationPackage\invariantsClassified\AmadeusHotel\getMultiHotelOffers\50\invariants_50_modified_tab_delimiter.xlsx,data.offers.policies.guarantee.acceptedPayments.methods
